identifier,preferred
CHEMBL10,SB-203580
CHEMBL100,LEVCROMAKALIM
CHEMBL1000,CETIRIZINE
CHEMBL100014,AN-9
CHEMBL100116,PENTAZOCINE
CHEMBL100119,QBFKQSDMKSSMRE-UHFFFAOYSA-N
CHEMBL100194,XMIAFAKRAAMSGX-UHFFFAOYSA-N
CHEMBL1002,LEVOSALBUTAMOL
CHEMBL100239,BUFDQCGCADQQQY-UHFFFAOYSA-N
CHEMBL100259,URIDINE
CHEMBL1003,CLAVULANATE POTASSIUM
CHEMBL10030,LY-117018
CHEMBL100338,NGXQJERCPOHZOE-UHFFFAOYSA-N
CHEMBL1004,DOXYLAMINE
CHEMBL100424,PICARTAMIDE
CHEMBL100454,FPDIERBPQFAFSI-UHFFFAOYSA-N
CHEMBL1005,REMIFENTANIL
CHEMBL10059,VMDPKVPTUTUSNH-SZABORAWSA-N
CHEMBL1006,AMIFOSTINE
CHEMBL100601,UYZBYTZLYXZSKV-UHFFFAOYSA-N
CHEMBL10062,QWSPAZWVAYSFKE-GAHATOAQSA-N
CHEMBL100635,WSWPCNMLEVZGSM-UHFFFAOYSA-N
CHEMBL100678,XIJAGSWGJPJOMZ-UHFFFAOYSA-N
CHEMBL1007,GONADORELIN
CHEMBL100768,ZQVKTHRQIXSMGY-UHFFFAOYSA-N
CHEMBL1008,BEPRIDIL
CHEMBL100815,CHAETOMELLIC ACID B
CHEMBL10085,MAZAPERTINE
CHEMBL1009,LEVODOPA
CHEMBL100905,OPAVWMDKVMBVRI-UHFFFAOYSA-N
CHEMBL100940,NALTRIBEN
CHEMBL100997,BIHLZWLBGMIQSN-UHFFFAOYSA-N
CHEMBL100998,ONWLNVBODYFXCJ-UHFFFAOYSA-N
CHEMBL101,PHENYLBUTAZONE
CHEMBL1010,CEFOTAXIME SODIUM
CHEMBL101009,HIRPMCAAOWFCHY-UHFFFAOYSA-N
CHEMBL101036,LTPVSOCPYWDIFU-UHFFFAOYSA-N
CHEMBL1011,METHYLPIPERAZINE
CHEMBL101165,NBPGPQJFYXNFKN-UHFFFAOYSA-N
CHEMBL101168,JCXKHYLLVKZPKE-UHFFFAOYSA-N
CHEMBL1012,2-PHTHALIMIDOGLUTARAMIC ACID
CHEMBL101232,IXUOEOAXHYIKHZ-UHFFFAOYSA-N
CHEMBL101253,VATALANIB
CHEMBL101263,4-NITROBENZOIC ACID
CHEMBL101265,GHICCUXQJBDNRN-UHFFFAOYSA-N
CHEMBL101284,ENCIPRAZINE
CHEMBL101287,CJUMAFVKTCBCJK-UHFFFAOYSA-N
CHEMBL101299,OLNJLTFSGFZCKE-JTQLQIEISA-N
CHEMBL1013,LORACARBEF
CHEMBL101309,AVASIMIBE
CHEMBL101324,ZKGILAGEAKMIIG-UHFFFAOYSA-N
CHEMBL101326,FIPRONIL
CHEMBL101348,FRTOQBKWAXWZAM-UHFFFAOYSA-N
CHEMBL101349,DZYBBBYFLOPVOL-UHFFFAOYSA-N
CHEMBL101374,HXCOKIFMWJDWPX-UHFFFAOYSA-N
CHEMBL1014,CANDESARTAN CILEXETIL
CHEMBL101422,CKQMTCNNSSCNHW-UHFFFAOYSA-N
CHEMBL101487,WBJMGSVSSCEGFV-UHFFFAOYSA-N
CHEMBL101503,XQPALJPKMLBASC-UHFFFAOYSA-N
CHEMBL101506,PINOSYLVIN
CHEMBL101510,LGQCVMYAEFTEFN-OAUYIBNBSA-N
CHEMBL101567,VWOLLRYTQSHWSY-UHFFFAOYSA-N
CHEMBL101577,CSGPUODXEMKHSY-UHFFFAOYSA-N
CHEMBL1016,CANDESARTAN
CHEMBL101626,DJUJJHDCOUPERR-UHFFFAOYSA-N
CHEMBL101690,MDMJLMDBRQXOOI-UHFFFAOYSA-N
CHEMBL101694,XALNSWJGDWVXQW-MVSWAQHNSA-N
CHEMBL1017,TELMISARTAN
CHEMBL101740,CIDOXEPIN
CHEMBL101772,ADCUEPOHPCPMCE-UHFFFAOYSA-N
CHEMBL101776,METHYL (METHOXYCARBONYL)OXY(METHYLSULFONYL)CARBAMATE
CHEMBL101799,LECLRDWVJRSFSE-UHFFFAOYSA-N
CHEMBL1018,DIENESTROL
CHEMBL101804,FJINJXZTEKDFRA-UHFFFAOYSA-N
CHEMBL101815,PDDBTWXLNJNICS-UHFFFAOYSA-N
CHEMBL10183,DDYNFKIYCLNEIZ-RHYQZUOMSA-N
CHEMBL101844,OITNBJHJJGMFBN-UHFFFAOYSA-N
CHEMBL101846,CQQSQBRPAJSTFB-UHFFFAOYSA-N
CHEMBL10188,TALNETANT
CHEMBL101892,SANGIVAMYCIN
CHEMBL1020,TOLMETIN
CHEMBL1021,NEPAFENAC
CHEMBL102201,COPALIC ACID
CHEMBL10226,DGBLQRCFBNFTSZ-UHFFFAOYSA-N
CHEMBL102276,IMINOCTADIENE
CHEMBL1023,BEXAROTENE
CHEMBL102301,ORRFUYVNMZSYIC-UHFFFAOYSA-N
CHEMBL102358,IDROCILAMIDE
CHEMBL1024,IFOSFAMIDE
CHEMBL102405,FELOPRENTAN
CHEMBL10247,THIORPHAN
CHEMBL1025,ISOFLUROPHATE
CHEMBL1026,FENOLDOPAM MESYLATE
CHEMBL1027,TIAGABINE
CHEMBL102714,SB-216763
CHEMBL10272,BENZETIMIDE
CHEMBL102740,ARCAINE
CHEMBL102757,PMSGJGLFWZJSFR-UHFFFAOYSA-L
CHEMBL1028,WRMRXPASUROZGT-UHFFFAOYSA-N
CHEMBL10284,SB-222200
CHEMBL1029,MIGLUSTAT
CHEMBL102936,PXDJFHKHAHQLSC-UHFFFAOYSA-N
CHEMBL102955,JOMJUWAAYRJJBC-DHUJRADRSA-N
CHEMBL102957,KRROCUPDKUFLSH-UHFFFAOYSA-N
CHEMBL102970,PYRIDOXAL
CHEMBL103,PROGESTERONE
CHEMBL1030,4'-HYDROXY-DICLOFENAC
CHEMBL103052,UFUVLAQFZSUWHR-UHFFFAOYSA-N
CHEMBL103074,BTVXQWYLNMVGCR-UHFFFAOYSA-N
CHEMBL103080,FUQAHBLEGDXXKS-UHFFFAOYSA-N
CHEMBL103098,ZZTJLVZEYMOZSD-UHFFFAOYSA-N
CHEMBL1031,5-HYDROXY-DICLOFENAC
CHEMBL103102,QUUYRYYUKNNNNS-UHFFFAOYSA-N
CHEMBL103104,GW831090X
CHEMBL103111,PYRIDOXAL ISONICOTINOYL HYDRAZONE
CHEMBL103115,GW831091X
CHEMBL103134,SIEXHGZWGJLLAC-QQFYDIPVSA-N
CHEMBL10316,IDAZOXAN
CHEMBL103162,OARLMKKFYRMEGT-UHFFFAOYSA-N
CHEMBL1032,"4',5-DIHYDROXY-DICLOFENAC"
CHEMBL103240,STICGTUXBDFNAJ-UHFFFAOYSA-N
CHEMBL103247,DIAMINOPROPANOIC ACID
CHEMBL103299,VKJXAQYPOTYDLO-UHFFFAOYSA-N
CHEMBL1033,3'-HYDROXY-4'-METHOXY-DICLOFENAC
CHEMBL103316,GNIVISADJSXJMQ-UHFFFAOYSA-N
CHEMBL10332,HQGWKNGAKBPTBX-UHFFFAOYSA-N
CHEMBL103356,3-AMINO- 3-DEOXYTHYMIDINE
CHEMBL1034,DICLOFENAC SODIUM
CHEMBL103410,FFRFJIZJLZXEJX-YPCIICBESA-N
CHEMBL10347,RAUWOLSCINE
CHEMBL10348,HIGNUDMIBLJVDG-UHFFFAOYSA-N
CHEMBL1035,3'-HYDROXY-DICLOFENAC
CHEMBL103534,VIMMECPCYZXUCI-MMKWGKFASA-N
CHEMBL103575,GKTZPBPAMFCBNI-ZWKOTPCHSA-N
CHEMBL103576,RRZZVFHBHCJNSN-UHFFFAOYSA-N
CHEMBL103583,VHGJAFIHUSTRGB-UHFFFAOYSA-N
CHEMBL103585,CTZYWTBCTJUWLK-DWDZROFFSA-M
CHEMBL1036,HYDROXYHALOPERIDOL
CHEMBL103600,DIMETHYLNORDIHYDROGUARIERATE ACID
CHEMBL103623,NNHFTYXKYCVPFN-UHFFFAOYSA-N
CHEMBL103667,DORAMAPIMOD
CHEMBL1037,GUANADREL
CHEMBL103706,FSXKIIYITCFGGK-UHFFFAOYSA-N
CHEMBL10372,ZOPOLRESTAT
CHEMBL103735,ATIPRIMOD
CHEMBL103759,OPPMNBYHIZCEGC-UHFFFAOYSA-N
CHEMBL103772,OTVQCHUIPJYASM-UHFFFAOYSA-N
CHEMBL103822,ZJOWFJWVIAEHEW-UHFFFAOYSA-N
CHEMBL1039,NORKETAMINE
CHEMBL103907,GQZQAJBNKMLYQV-ROUUACIJSA-N
CHEMBL103955,CHAETOMELLIC ACID A
CHEMBL104,CLOTRIMAZOLE
CHEMBL1040,CALCIFEDIOL
CHEMBL104028,SJGVXVZUSQLLJB-UHFFFAOYSA-N
CHEMBL104046,QBSLDCANAUJINC-UHFFFAOYSA-N
CHEMBL104083,OPKOKAMJFNKNAS-UHFFFAOYSA-N
CHEMBL10413,ZENARESTAT
CHEMBL104159,IIUUDIMDIVXVIV-DNBAHFTBSA-N
CHEMBL104179,XNYCDEFYMIFVLX-VZHOJECDSA-N
CHEMBL104186,BO-653
CHEMBL1042,CHOLECALCIFEROL
CHEMBL104264,ZKZXNDJNWUTGDK-NSCUHMNNSA-N
CHEMBL104265,PBBQFNAAZVQRCL-UHFFFAOYSA-L
CHEMBL104296,CLWGKJWYXFQQHA-UHFFFAOYSA-N
CHEMBL104297,GEUWRNTWGHPTPU-UHFFFAOYSA-N
CHEMBL1043,DAPSONE
CHEMBL104315,XUPFWCWWOMZNMK-HMXKFKBXSA-N
CHEMBL104353,JSTCPNFNKICNNO-UHFFFAOYSA-N
CHEMBL104369,ZLGVETZHLAFRFE-UHFFFAOYSA-N
CHEMBL104387,WSJDGYQMKFQVEE-UHFFFAOYSA-L
CHEMBL1044,PHENYLACETIC ACID
CHEMBL10445,CLOXACEPRIDE
CHEMBL104456,RNQUXGAIVHPEHC-HWKANZROSA-N
CHEMBL104466,CYVRFHRDWQAJGA-XYPYZODXSA-N
CHEMBL104468,KKTZALUTXUZPSN-UHFFFAOYSA-N
CHEMBL1045,PHTHALIC ACID
CHEMBL104515,ANISOPIROL
CHEMBL104553,DGMQDIYAUICBAP-UHFFFAOYSA-L
CHEMBL104560,CHLORPROPHAM
CHEMBL1046,AMINOCAPROIC ACID
CHEMBL104613,ZPBHQPNFUBDTFU-UHFFFAOYSA-L
CHEMBL104718,LEPADIN F
CHEMBL1048,N-DEALKYLATED DERIVATIVE
CHEMBL104831,RXXHEJUZBXBJKV-UHFFFAOYSA-N
CHEMBL104875,D-HISTIDINE
CHEMBL1049,DECARBOXYLATED DERIVATIVE
CHEMBL104943,MONOETHANOLAMINE
CHEMBL105,MITOMYCIN
CHEMBL1050,LATANOPROST ACID
CHEMBL105017,MELXFZCPTHLTNJ-UHFFFAOYSA-L
CHEMBL105060,DNK333
CHEMBL105081,XALNSWJGDWVXQW-DMKPSNCHSA-N
