"","U.Clus.1","U.Clus.2","U.Clus.3","U.Clus.4","U.Clus.5","U.Clus.6","U.Clus.7","U.Clus.8","U.Clus.9","U.Clus.10","U.Clus.11","U.Clus.12","U.Clus.13","U.Clus.14","U.Clus.15","U.Clus.16","U.Clus.17","U.Clus.18","U.Clus.19","U.Clus.20","U.Clus.21","U.Clus.22","U.Clus.23","U.Clus.24","U.Clus.25","U.Clus.26","U.Clus.27","U.Clus.28","U.Clus.29","U.Clus.30","U.Clus.31","U.Clus.32","U.Clus.33","U.Clus.34","U.Clus.35","U.Clus.36","U.Clus.37","U.Clus.38","U.Clus.39","U.Clus.40","U.Clus.41","U.Clus.42","U.Clus.43","U.Clus.44","U.Clus.45","U.Clus.46","U.Clus.47","U.Clus.48","U.Clus.49","U.Clus.50","U.Clus.51","U.Clus.52","U.Clus.53","U.Clus.54","U.Clus.55","U.Clus.56","U.Clus.57","U.Clus.58","U.Clus.59","U.Clus.60","U.Clus.61","U.Clus.62","U.Clus.63","U.Clus.64"
"3652",2.21683056926659e-08,2.50657494576795e-09,1.5643795912262e-09,5.26520117637623e-09,1.84657588732247e-09,1.15764491372168e-07,2.95496147547927e-09,1.48093887763413e-08,4.82942284310144e-08,1.88130209460425e-09,3.05685331418145e-07,2.03214179336175e-08,5.28849435854234e-09,2.57816133532786e-10,4.55789533909698e-08,6.63412242016224e-07,2.35845396877557e-10,4.55160614662139e-08,1.08163623586603e-09,1.62952694237325e-07,7.02524556597886e-10,1.2874033811585e-09,9.83297134397915e-10,1.03039865009477e-09,3.18742574422125e-09,1.9759816508825e-09,1.93507244791493e-09,5.14050216572217e-08,5.74842391635e-10,0.999992470920982,3.13683798006169e-10,1.43909972642657e-09,7.02431815896045e-10,8.3271120454954e-09,1.71368812693878e-09,1.28617259800132e-07,1.48616963437005e-09,1.33517472798539e-08,1.91624441201798e-08,4.2173967229288e-10,5.91210052687174e-07,2.03372379555155e-08,6.98341139261069e-07,3.77674646655577e-07,2.61871665656527e-09,3.45284981942382e-08,1.42240403121547e-09,3.56215350855951e-07,2.40231123545156e-09,7.14508265784078e-09,5.44927732018278e-08,1.33291952718917e-09,5.7824586257139e-09,1.65570891533805e-09,1.38164069152526e-07,6.74783985893216e-07,1.63696676881895e-07,2.92176734753392e-09,2.3778968529483e-06,1.43302533271835e-09,2.0394117518382e-07,2.07171101271605e-08,8.34380777752779e-08,9.2373111146742e-10
"5280795",1.4123504801415e-11,1.99548350135659e-10,2.37119092891704e-10,5.66005592457045e-11,6.20071039352354e-11,4.17202120608519e-11,8.37735874880465e-11,1.31857758484641e-11,2.02100545404693e-11,5.27673175417047e-11,4.62682007436185e-11,2.18667048700655e-11,8.68087860671118e-12,4.30117820061287e-12,5.09700706819231e-11,2.35456175829668e-11,3.66396093742073e-12,2.33483928346088e-11,1.61082833813602e-11,1.94394976379937e-11,1.2847158424234e-11,1.83092629600012e-11,1.66098327568766e-11,6.09072793437911e-12,3.33748433793551e-11,2.86675435058492e-09,2.8621801902951e-11,1.00828508966488e-10,1.73831372906259e-11,1.78514852128022e-11,1.34585752404125e-11,1.79103676634435e-11,7.9505310055522e-12,9.73109442502884e-11,1.8895331690906e-10,2.55892256398219e-11,0.99999997724561,2.87684081639928e-10,1.12353432774892e-10,6.55106746788246e-12,6.75709441091726e-11,2.03243794485404e-10,1.23495836305606e-10,3.26730801612332e-11,1.01793040739718e-08,5.36624065960119e-11,3.21454037815215e-11,6.25913844205781e-11,5.79390561029581e-11,7.45557122769656e-11,2.29104372554639e-11,1.91319237459841e-11,6.34889472386659e-10,5.50485615221151e-09,4.48213861058439e-11,2.92556201884633e-11,9.99396004002465e-11,4.36656175024454e-10,4.89787920947759e-11,3.39841893089251e-11,1.23650586147691e-11,2.06378145390972e-11,7.04640969964167e-11,1.26371899091488e-11
"447043",1.42461407253288e-08,3.41883285213607e-08,5.54201925183123e-08,2.56094423066391e-08,0.999985921247786,8.40889563052162e-08,9.5124606630199e-07,1.72247880070532e-08,3.21369961706867e-08,3.1986825111073e-08,4.18235414213546e-08,4.91847249502108e-08,2.67082525839767e-08,5.08601102536285e-09,4.55427691513067e-08,1.81221313926192e-08,4.64027415463614e-09,1.69259772708193e-08,2.01272262836329e-08,1.90002678958418e-08,1.30251853382962e-08,1.2043527769077e-07,2.26530559916543e-08,6.22337480373834e-09,7.47418936172628e-08,4.01601897660809e-08,2.53185839497492e-07,9.30022129848803e-08,1.41776410740269e-08,1.67177209079967e-08,8.41261140248991e-09,3.10647583332242e-08,3.83535898415774e-08,9.41447584416795e-08,3.49269093283577e-07,6.48800550431163e-08,5.27856297257733e-08,9.6067208951635e-08,3.12074546977143e-07,1.25305443811934e-08,7.35478669147169e-08,7.13550530070205e-08,2.27955097161908e-07,3.78341462761853e-08,5.14791638515952e-07,7.17244541709865e-08,1.81403179507597e-07,3.96544310697397e-08,8.9968294601488e-08,1.43444778747472e-07,2.30370313474163e-08,7.92504345221403e-08,4.87364082565945e-08,2.21109299374279e-07,6.46875717406846e-08,2.66270332949002e-08,5.56278544365302e-08,8.40811975393647e-06,4.56116281024608e-08,2.06978985829557e-07,9.43395894079484e-09,3.77588604824329e-08,1.42155794238959e-07,5.07245595430493e-08
"5280793",1.50727296607093e-10,2.22321786811082e-09,2.64715357064627e-09,6.16844175478371e-10,5.66068468157606e-10,4.19424972935546e-10,8.84384577806751e-10,1.29221894157046e-10,2.16789558167637e-10,5.44844391252348e-10,4.77205314423687e-10,2.14271933846224e-10,8.50629912626782e-11,4.21456934606711e-11,5.27065024628011e-10,2.41695146845219e-10,3.59015501070054e-11,2.43323136930667e-10,1.57839366644638e-10,2.02169606790922e-10,1.15967205243655e-10,1.79097283141926e-10,1.62751816697351e-10,5.53975137212799e-11,3.2692408902358e-10,3.75710199394077e-08,2.80355263063456e-10,1.04308969760709e-09,1.63059252597901e-10,1.80202941885025e-10,1.2126849125741e-10,1.75450639028364e-10,7.78531873071075e-11,1.06965678298119e-09,1.77653278315739e-09,2.62721709206382e-10,0.99999973306838,3.22681737032592e-09,1.19188547451589e-09,6.41910173229068e-11,6.80676607082838e-10,2.26186757227377e-09,1.25355148177618e-09,3.44141176500452e-10,1.25164698631612e-07,5.28770254254509e-10,3.14982696910009e-10,6.37093494056643e-10,6.20903533665138e-10,7.31256455271316e-10,2.35117485092774e-10,1.82555270210144e-10,6.46937495790521e-09,6.01301271531851e-08,4.8568597285378e-10,2.86782276313073e-10,1.01918029847592e-09,4.93773593568514e-09,5.14074849597216e-10,3.17237840253839e-10,1.26362356256202e-10,2.09731468706977e-10,6.91369847690317e-10,1.18743025438973e-10
"15171724",1.09044781705493e-07,2.93997829244733e-08,1.21424552128763e-08,5.0886349284083e-08,2.23181243256035e-08,6.29303233702101e-06,5.97764763463743e-08,2.73024651288679e-07,1.00718796403522e-06,5.02021087369031e-08,2.35406817546334e-07,1.84642484888891e-07,7.80643202092289e-08,1.65999100641066e-09,4.22105597716133e-07,1.24375402108629e-07,1.62844555767634e-09,2.91058373020264e-08,6.40497624198601e-09,7.33148916532413e-07,4.17531950672378e-09,1.41171202874375e-08,6.88578187750892e-09,8.648792999678e-09,2.05830755834046e-08,1.05415592579937e-08,3.46508111924899e-08,9.70843835723778e-07,2.93032422057278e-09,1.20603620776138e-07,1.63097918198252e-09,1.40901253668423e-08,5.82323634670712e-09,2.31523524662529e-07,1.29157531851194e-08,6.40255100506849e-07,8.1634247768375e-09,1.37877866707605e-07,2.32566591251202e-06,2.17185896565713e-09,1.73091157927716e-06,8.22954260201392e-08,5.15552819446647e-06,3.40879990109118e-06,3.2424446968114e-08,5.46012349220693e-07,2.57967327657561e-08,3.71118564671318e-06,4.59991011724772e-08,1.3257934953991e-07,3.13758583887083e-06,1.00558513465341e-08,7.98877558832215e-08,1.5174024932043e-08,3.34073298653754e-06,1.31436512727836e-07,1.84770723576704e-07,5.28780867882343e-08,7.58805402994262e-07,1.55636754940339e-08,1.81845387143321e-07,0.999962683287686,2.29939371374464e-07,8.84812554785812e-09
"83818",3.50013065263943e-09,3.58322788254496e-10,2.26045652770094e-10,6.45383961633387e-10,2.21323832837145e-10,1.75279878556551e-08,3.25425483090471e-10,2.19743537570175e-09,4.54250506116189e-09,2.83956879727466e-10,3.94426560930503e-08,3.18212868486974e-09,6.04951339994694e-10,4.28179267539598e-11,6.57391879396452e-09,1.171832913674e-07,3.7355232630972e-11,8.40922161354851e-09,1.71309738262666e-10,2.7405007145375e-08,1.068906598359e-10,1.6153752047341e-10,1.62387188206839e-10,1.78044364828695e-10,4.34236084226291e-10,2.52939517983109e-10,2.4282451370725e-10,6.48826007164269e-09,7.49012470810927e-11,0.999999114692465,3.74093791991718e-11,2.17871990113502e-10,9.47209943499624e-11,9.31468784019517e-10,2.12918483999011e-10,1.21713894708835e-08,1.68032547559594e-10,1.45798178435706e-09,2.22638185680572e-09,6.67966132081188e-11,5.73751622655599e-08,2.78190314865798e-09,6.37773870218055e-08,5.08943598127246e-08,3.32430335446109e-10,4.98743542881131e-09,1.88093449142501e-10,3.73382332309895e-08,3.3916201538074e-10,1.00725350973419e-09,7.94458230207006e-09,1.73027782614996e-10,7.94908667401314e-10,2.24726517728905e-10,1.82354437622252e-08,2.52379195840521e-08,2.55310704863941e-08,3.44064367504405e-10,2.83563735784882e-07,1.81320736788627e-10,3.55118005596307e-08,2.2597888538895e-09,7.56928864230299e-09,1.46268303953409e-10
"639540",9.62889532221992e-10,7.80990862430061e-11,4.95446016055926e-11,1.72110135163568e-10,4.7052439816607e-11,3.10389959105872e-09,6.86917660293899e-11,5.26816619047077e-10,1.08923619005688e-09,6.49671651211572e-11,1.04309483429786e-08,5.19368528258769e-10,1.30606434451795e-10,9.56476471081991e-12,2.11239576452192e-09,5.84294984860806e-08,8.35979685676504e-12,2.78154450334352e-09,3.9390019276752e-11,9.02749664966305e-09,2.46285196334327e-11,3.44989786493254e-11,3.58248901799336e-11,4.2693512498236e-11,9.43185873431352e-11,5.92629024043621e-11,5.08099915162459e-11,1.49488108624119e-09,1.72852461648639e-11,0.999999671900563,8.37176877478002e-12,5.2213895714032e-11,1.94015127317653e-11,2.15197482272359e-10,4.40574788457906e-11,2.29154330443813e-09,3.85720445300753e-11,3.20119293073031e-10,4.18622909506697e-10,1.60174831967122e-11,1.52372192922771e-08,7.57080323001973e-10,1.3871322063002e-08,1.58620214154634e-08,7.07340248267614e-11,1.11778327382316e-09,4.12873393852469e-11,1.230288293756e-08,7.27010844633176e-11,2.15902100168113e-10,1.90598980551459e-09,3.87889294531804e-11,1.85521456109173e-10,4.5228171102964e-11,4.37346854281738e-09,8.85562798138694e-09,1.00322076446458e-08,7.49459437295088e-11,1.28369498362913e-07,3.81309219456012e-11,1.74722156923058e-08,5.14628494585543e-10,1.68382729499074e-09,2.96221934814845e-11
"2719",9.62889532219045e-10,7.80990862427671e-11,4.9544601605441e-11,1.72110135163042e-10,4.70524398164631e-11,3.10389959104922e-09,6.86917660291797e-11,5.26816619045465e-10,1.08923619005354e-09,6.49671651209584e-11,1.04309483429462e-08,5.1936852825718e-10,1.30606434451395e-10,9.56476471079064e-12,2.11239576451546e-09,5.84294984859001e-08,8.35979685673947e-12,2.78154450333501e-09,3.93900192766315e-11,9.02749664963542e-09,2.46285196333574e-11,3.44989786492199e-11,3.5824890179824e-11,4.26935124981053e-11,9.43185873428466e-11,5.92629024041808e-11,5.08099915160905e-11,1.49488108623662e-09,1.7285246164811e-11,0.999999671900563,8.3717687747544e-12,5.22138957138723e-11,1.94015127317059e-11,2.151974822717e-10,4.40574788456558e-11,2.29154330443111e-09,3.85720445299572e-11,3.20119293072052e-10,4.18622909505416e-10,1.60174831966632e-11,1.5237219292226e-08,7.57080322999656e-10,1.38713220629597e-08,1.58620214154148e-08,7.0734024826545e-11,1.11778327381974e-09,4.12873393851205e-11,1.23028829375223e-08,7.27010844630952e-11,2.15902100167452e-10,1.90598980550876e-09,3.87889294530617e-11,1.85521456108605e-10,4.52281711028256e-11,4.37346854280396e-09,8.85562798135986e-09,1.00322076446151e-08,7.49459437292795e-11,1.28369498362527e-07,3.81309219454845e-11,1.74722156922523e-08,5.14628494583968e-10,1.68382729498558e-09,2.96221934813938e-11
"9812710",9.11826705331769e-07,8.11033027229858e-06,1.1656256442134e-05,2.02201442794287e-06,0.000131649466883673,5.0477588019383e-06,6.49171619256957e-06,1.21325693639622e-06,1.82111161091071e-06,7.59731482509926e-06,3.75308520971395e-06,1.56914928015712e-06,7.77087712917878e-07,2.55788564261175e-07,2.45617341069442e-06,9.80071546552771e-07,2.03350993576171e-07,9.41797900065681e-07,9.1876586540954e-07,1.12229725442768e-06,6.49027796824775e-07,1.22833599976451e-06,1.17181609375276e-06,3.12334330022541e-07,1.98528050123832e-06,1.31617427526768e-05,2.63514935635459e-06,8.05018192127873e-06,7.04965242239385e-07,8.05936825197161e-07,3.89932513637985e-07,8.60467622557085e-07,5.53554073743982e-07,8.72768863646103e-06,2.15748029796444e-05,2.71276557067853e-06,1.76624135551822e-05,1.18572694389878e-05,1.62522594706549e-05,2.69531328492452e-07,5.35868223269331e-06,6.94651316534117e-06,1.29815058158003e-05,2.52978057812365e-06,0.000730436854272469,3.84416369535122e-06,4.11513613982618e-06,2.57973122473581e-06,3.49108868389668e-05,9.9351359081887e-06,1.42469733217741e-06,1.43200505434558e-06,1.16771922483501e-05,8.08202932710454e-05,4.47939285470186e-06,1.44031859958175e-06,3.01059257550984e-06,0.998764174629484,2.80993949040297e-06,2.58961545999157e-06,5.30505060421325e-07,2.43907417175312e-06,7.68522585342361e-06,7.8405182724529e-07
"492405",2.15150789345699e-05,8.52134280283512e-06,3.51122776581539e-05,1.21849150555821e-05,2.84906566785632e-05,3.08912435055707e-05,6.4685658899969e-05,9.0382097463385e-06,1.53544167969008e-05,8.58984600184516e-06,1.50451782694138e-05,4.53499833686744e-05,1.54203557187626e-05,5.18300184555654e-06,4.17200227464176e-05,1.70394490942527e-05,1.33425593814561e-05,1.87427360862164e-05,2.15895497846033e-05,2.23084556269467e-05,1.27578489012474e-05,0.000175741923396678,2.3322724388171e-05,1.58866162253037e-05,0.997648074366747,1.63948816047213e-05,6.70701606284372e-05,4.21182799190612e-05,2.25632843269746e-05,1.44378292159242e-05,8.20389034897368e-06,0.000181487600570589,5.72687441302998e-05,1.82935705130613e-05,5.06679609816645e-05,2.41553487723945e-05,8.56541360797945e-06,1.81518984510175e-05,4.21045908390173e-05,1.72909104224782e-05,3.21952968375824e-05,3.71949585266637e-05,5.18493484231376e-05,2.63737542098006e-05,2.21792844806899e-05,4.16483896163786e-05,3.35195085769936e-05,3.6735529141317e-05,8.02220012283031e-06,1.95757869993856e-05,1.72873987409013e-05,0.000278234955289437,1.2508567239131e-05,1.35306021334772e-05,4.09127198921636e-05,1.18951347359742e-05,5.28135726624513e-05,2.00453485636662e-05,4.62597987987399e-05,7.31767354292603e-05,8.84752409264332e-06,1.4380219185037e-05,3.94804970469955e-05,0.000146650087262096
